,Residual_Hydro_Water_Reservoir_IT,Residual_Hydro_Run-of-river_and_poundage_IT,Residual_Other_IT,Biomass_IT,Fossil_Brown_coal/Lignite_IT,Fossil_Coal-derived_gas_IT,Fossil_Gas_IT,Fossil_Hard_coal_IT,Fossil_Oil_IT,Fossil_Oil_shale_IT,Fossil_Peat_IT,Geothermal_IT,Hydro_Pumped_Storage_IT,Hydro_Run-of-river_and_poundage_IT,Hydro_Water_Reservoir_IT,Marine_IT,Nuclear_IT,Other_fossil_IT,Other_renewable_IT,Solar_IT,Waste_IT,Wind_Offshore_IT,Wind_Onshore_IT
2017-07-01 01:00:00,0.0,0.0,0.0,5.757304030028271e-06,0.0,2.2434300067742917e-05,2.6973506038534858e-05,0.00022827766851064429,2.9995242934836988e-05,0.0,0.0,3.353324816141589e-06,0.0,1.3248042451291095e-06,2.268421092492151e-07,0.0,0.0,0.0005888964342094978,0.0,0.0,0.0,0.0,3.357028872838896e-06
2017-07-01 02:00:00,0.0,0.0,0.0,5.8977544742147545e-06,0.0,2.576390842554849e-05,2.7018344327117672e-05,0.00023388110928109057,2.2893623221665443e-05,0.0,0.0,3.41253022676003e-06,0.0,1.3283069210332355e-06,2.451053809207711e-07,0.0,0.0,0.0005723491870265221,0.0,0.0,0.0,0.0,3.367598471478865e-06
2017-07-01 03:00:00,0.0,0.0,0.0,6.009207243961519e-06,0.0,2.7490040158627172e-05,2.7116730566390206e-05,0.00023625287260160932,2.3367575113004263e-05,0.0,0.0,3.4694101348749722e-06,0.0,1.3481642708475863e-06,2.40562297092046e-07,0.0,0.0,0.0005808618129086181,0.0,2.0034180561293328e-08,0.0,0.0,3.0129552764660004e-06
2017-07-01 04:00:00,0.0,0.0,0.0,5.865651855008531e-06,0.0,2.8041539004267395e-05,2.724671476984535e-05,0.00023213623505700132,2.266058494762528e-05,0.0,0.0,3.3644425105852894e-06,0.0,1.3668302204990688e-06,2.567128551342131e-07,0.0,0.0,0.0005678259146708302,0.0,1.7420478417147967e-06,0.0,0.0,2.678166433363174e-06
2017-07-01 05:00:00,0.0,0.0,0.0,5.3899463022021e-06,0.0,2.6633605565232664e-05,2.7132630617720942e-05,0.0002115416592015304,2.0687885926092598e-05,0.0,0.0,3.0670166632631897e-06,0.0,1.4311782427597964e-06,3.2114411321161384e-07,0.0,0.0,0.0005676063748644747,0.0,8.218027583063642e-06,0.0,0.0,2.0326467786445513e-06
2017-07-01 06:00:00,0.0,0.0,0.0,4.88158883727166e-06,0.0,2.522583160200637e-05,2.4648746709623775e-05,0.00019279766463964817,1.9240705251289828e-05,0.0,0.0,2.79976517876757e-06,0.0,1.3899131374396045e-06,3.6173292994464564e-07,0.0,0.0,0.0005547492661949263,0.0,1.8929567803938678e-05,0.0,0.0,1.5711760348409351e-06
2017-07-01 07:00:00,0.0,0.0,0.0,4.703179382553997e-06,0.0,2.4145732835278104e-05,2.2152381038812557e-05,0.00018347100336771127,1.856019463434446e-05,0.0,0.0,2.679887151972407e-06,1.514108544217142e-06,1.3306540119305002e-06,3.52135794145131e-07,0.0,0.0,0.0005004438059745877,0.0,2.9429867074274575e-05,0.0,0.0,1.3559312135162645e-06
2017-07-01 08:00:00,0.0,0.0,0.0,4.561903643126109e-06,0.0,2.3330109926004292e-05,2.06186135730289e-05,0.00018023488051204645,1.7739548947351924e-05,0.0,0.0,2.6299203511983732e-06,0.0,1.2611310175845451e-06,3.222766356055754e-07,0.0,0.0,0.00045439336773749945,0.0,3.7454684348818734e-05,0.0,0.0,1.4617508213306657e-06
2017-07-01 09:00:00,0.0,0.0,0.0,4.604820542166235e-06,0.0,2.3348046974287447e-05,1.723933196170863e-05,0.0001806940528243375,1.895590171613111e-05,0.0,0.0,2.639184725598456e-06,0.0,1.2052454968614441e-06,2.348868374206258e-07,0.0,0.0,0.000438730250753618,0.0,4.375638216074714e-05,0.0,0.0,1.722313543681203e-06
2017-07-01 10:00:00,0.0,0.0,0.0,4.678873180253848e-06,0.0,2.367457489566009e-05,1.6944832551232628e-05,0.0001687520836064922,8.754427908721814e-06,0.0,0.0,2.6874819794343725e-06,0.0,1.0795895920514646e-06,1.9333249809797845e-07,0.0,0.0,0.00042902347177692477,0.0,4.921622090065997e-05,0.0,0.0,1.9903357404901956e-06
