,Residual_Hydro_Water_Reservoir_DE,Residual_Hydro_Run-of-river_and_poundage_DE,Residual_Other_DE,Biomass_DE,Fossil_Brown_coal/Lignite_DE,Fossil_Coal-derived_gas_DE,Fossil_Gas_DE,Fossil_Hard_coal_DE,Fossil_Oil_DE,Fossil_Oil_shale_DE,Fossil_Peat_DE,Geothermal_DE,Hydro_Pumped_Storage_DE,Hydro_Run-of-river_and_poundage_DE,Hydro_Water_Reservoir_DE,Marine_DE,Nuclear_DE,Other_fossil_DE,Other_renewable_DE,Solar_DE,Waste_DE,Wind_Offshore_DE,Wind_Onshore_DE
2016-12-27 14:00:00,0.0,0.0,0.0,2.6853154846014932e-05,6.448819351703651e-05,1.6444906074859775e-05,7.370798726526584e-06,4.0575351719028167e-05,2.349447834817107e-06,0.0,0.0,4.7155983143142116e-08,1.6318709692202326e-05,1.8189184521254105e-07,1.0482729805843985e-08,0.0,1.559341823735697e-06,1.8362855298026937e-05,9.546085697469702e-07,3.81162614249813e-06,0.0,1.7220587085871265e-06,1.8384680549275915e-05
2016-12-27 15:00:00,0.0,0.0,0.0,2.7303123592121844e-05,6.118971047879098e-05,1.6699005411994075e-05,7.80142643708042e-06,4.3168162322756186e-05,2.375834927987545e-06,0.0,0.0,4.85947743946436e-08,2.3056840383483103e-05,1.8650044695005845e-07,1.4362926858438117e-08,0.0,1.6023141171043737e-06,1.8629072832059713e-05,9.66853524021358e-07,2.6640296703183104e-07,0.0,1.7329379293626377e-06,1.7926661478791898e-05
2016-12-27 16:00:00,0.0,0.0,0.0,2.700154800410418e-05,5.896368927940267e-05,1.6727718011894204e-05,8.62682069596244e-06,4.805317279245504e-05,2.3483615461099566e-06,0.0,0.0,4.9150141154386375e-08,2.094934127765084e-05,1.8445933197580944e-07,1.623972186564144e-08,0.0,1.5970284404851963e-06,1.8976881990710944e-05,9.835428398788889e-07,0.0,0.0,1.648487617077212e-06,1.7313456568516675e-05
2016-12-27 17:00:00,0.0,0.0,0.0,2.754667679414272e-05,6.377116078742202e-05,1.686581808215015e-05,8.277476238194373e-06,5.844328235065363e-05,2.391945002042194e-06,0.0,0.0,5.0155617901878294e-08,1.1932319544035457e-05,1.8755277337778128e-07,1.6767294572365244e-08,0.0,1.627810012535268e-06,1.8704408267029165e-05,1.0026210359730756e-06,0.0,0.0,1.6966831342276846e-06,1.6945428177856707e-05
2016-12-27 18:00:00,0.0,0.0,0.0,2.8091594714004736e-05,6.531484543685477e-05,1.752996045177985e-05,8.0935247559032e-06,6.192140794641507e-05,2.4421234717790213e-06,0.0,0.0,5.43267607487641e-08,8.543469255756707e-06,1.9389475173537476e-07,1.4821031529174547e-08,0.0,1.692298974872717e-06,1.9286032042956767e-05,1.0132744037606427e-06,0.0,0.0,1.6963957595161261e-06,1.7059900147258666e-05
2016-12-27 19:00:00,0.0,0.0,0.0,2.8801711606591975e-05,7.15699535138913e-05,1.833754115541632e-05,8.619094031245823e-06,6.571843633443474e-05,2.5202811498136848e-06,0.0,0.0,5.622364823175158e-08,5.094565574394253e-06,1.9905184424054152e-07,1.2555976201918974e-08,0.0,1.7889854825828322e-06,2.0281481807422282e-05,1.0444506373055067e-06,0.0,0.0,1.6019256560865744e-06,1.680559533939762e-05
2016-12-27 20:00:00,0.0,0.0,0.0,2.9518865175709684e-05,7.694400310864375e-05,1.8213646381835396e-05,8.609664167589012e-06,6.267531939926687e-05,2.5834655549351465e-06,0.0,0.0,5.8578916130059994e-08,3.1950898059284704e-06,2.0461758285070913e-07,8.325498295536505e-09,0.0,1.8500205762187337e-06,2.0251848347602948e-05,1.0741253347779231e-06,0.0,0.0,1.6777966492924717e-06,1.631425836150038e-05
2016-12-27 21:00:00,0.0,0.0,0.0,2.9492157719767156e-05,8.042998378658963e-05,1.811591449136494e-05,8.677928106104724e-06,5.908771024676524e-05,2.5972598091186294e-06,0.0,0.0,5.981844865870562e-08,3.422116060332461e-06,2.068244785704156e-07,8.073248579710405e-09,0.0,1.8643618344065872e-06,1.9658948027788102e-05,1.0807695414298225e-06,0.0,0.0,1.5300949202354523e-06,1.6283585918161655e-05
2016-12-27 22:00:00,0.0,0.0,0.0,3.0146713219662328e-05,8.565424084433363e-05,1.8964503626899902e-05,7.458101978509446e-06,5.3804176068620765e-05,2.6601033585208125e-06,0.0,0.0,6.187506232388968e-08,8.168242168339854e-07,2.1315772874580086e-07,2.1781287835497345e-09,0.0,1.9068124153371538e-06,1.712993511810493e-05,1.0434664325505088e-06,0.0,0.0,1.2622963572589458e-06,1.6896770093484355e-05
2016-12-27 23:00:00,0.0,0.0,0.0,3.0220668679601523e-05,9.357316381531306e-05,1.9368010110992923e-05,7.639444061191829e-06,4.247353055362474e-05,2.69281193168435e-06,0.0,0.0,6.265488724314651e-08,2.6325368113435636e-07,2.1976573147349294e-07,6.4074003869374005e-09,0.0,1.8736713331417292e-06,1.560536581936057e-05,9.781646646245061e-07,0.0,0.0,1.123221291420507e-06,1.6755241119757385e-05
