,Climate Change,Human carcinogenic toxicity,Fine particulate matter formation,Land use
Wind_Offshore_FR,0.015799999237060547,0.011800000444054604,3.65999985660892e-05,0.0004560000088531524
Wind_Onshore_FR,0.015213831327855587,0.011745702475309372,3.412347723497078e-05,0.0012142780469730496
Solar_FR,0.08211548626422882,0.012234431691467762,0.00020377265173010528,0.009562504477798939
Biomass_IT,0.18344132602214813,0.006768232211470604,0.0003386943426448852,0.10441331565380096
Fossil_Coal-derived_gas_IT,1.059999942779541,0.07039999961853027,0.0033400000538676977,0.026100000366568565
Fossil_Gas_IT,0.5515249967575073,0.003915560431778431,0.00013946973194833845,0.0022887589875608683
Fossil_Hard_coal_IT,1.070438027381897,0.04148278012871742,0.001872408902272582,0.00991477444767952
Fossil_Oil_IT,0.8948768973350525,0.006553608924150467,0.0023790309205651283,0.010832896456122398
Geothermal_IT,0.06729999929666519,0.013500000350177288,0.0001320000010309741,0.0014100000262260437
Hydro_Pumped_Storage_IT,0.5720000267028809,0.01640000008046627,0.0006130000110715628,0.013299999758601189
Hydro_Run-of-river_and_poundage_IT,0.004089999943971634,0.0018599999602884054,8.400000297115184e-06,0.00017600000137463212
Hydro_Water_Reservoir_IT,0.0061599998734891415,0.0018700000364333391,8.889999662642367e-06,9.390000195708126e-05
Other_fossil_IT,1.8899999856948853,0.09730000048875809,0.002940000034868717,0.01769999973475933
Waste_IT,0.0,0.0,0.0,0.0
Wind_Offshore_IT,0.015799999237060547,0.011800000444054604,3.65999985660892e-05,0.0004560000088531524
Wind_Onshore_IT,0.01934237964451313,0.015054386109113693,4.7234800149453804e-05,0.0015631471760571003
Solar_IT,0.07302846759557724,0.011887594126164913,0.00017201142327394336,0.01786363124847412
