,GWP,CED renewable,CED non-renewable,ES2013
Biomass_NO,0.16585439443588257,0.0649021714925766,0.4901847541332245,784.7946166992188
Fossil_Brown_coal/Lignite_NO,0.0,0.0,0.0,0.0
Fossil_Coal-derived_gas_NO,0.0,0.0,0.0,0.0
Fossil_Gas_NO,0.34769055247306824,0.006191294640302658,6.802723407745361,221.8349609375
Fossil_Hard_coal_NO,1.4909980297088623,0.16255030035972595,13.851737022399902,885.0636596679688
Fossil_Oil_NO,0.4850803017616272,0.02542722038924694,7.364108562469482,456.9168701171875
Fossil_Oil_shale_NO,0.0,0.0,0.0,0.0
Fossil_Peat_NO,0.0,0.0,0.0,0.0
Geothermal_NO,0.0,0.0,0.0,0.0
Hydro_Pumped_Storage_NO,0.041531044989824295,5.424833297729492,0.7800214290618896,53.9275016784668
Hydro_Run-of-river_and_poundage_NO,0.004365980625152588,3.793076753616333,0.0433325432240963,11.914127349853516
Hydro_Water_Reservoir_NO,0.006917660124599934,3.7941946983337402,0.0581897608935833,13.506953239440918
Marine_NO,0.0,0.0,0.0,0.0
Nuclear_NO,0.0,0.0,0.0,0.0
Other_fossil_NO,2.039562940597534,0.2223850041627884,19.09918975830078,1486.0560302734375
Other_renewable_NO,0.0,0.0,0.0,0.0
Solar_NO,0.0,0.0,0.0,0.0
Waste_NO,1.1052920818328857,0.0013855202123522758,0.020162858068943024,530.4593505859375
Wind_Offshore_NO,0.0,0.0,0.0,0.0
Wind_Onshore_NO,0.014143073931336403,3.8824894428253174,0.19051234424114227,34.34517288208008
Biomass_SE,0.0504021942615509,16.564502716064453,0.5725773572921753,364.6928405761719
Fossil_Brown_coal/Lignite_SE,0.0,0.0,0.0,0.0
Fossil_Coal-derived_gas_SE,0.0,0.0,0.0,0.0
Fossil_Gas_SE,0.6132109761238098,7.239569094963372e-05,0.0014054429484531283,47.33247375488281
Fossil_Hard_coal_SE,1.3685749769210815,0.14913900196552277,12.714179992675781,812.3004760742188
Fossil_Oil_SE,0.8382859230041504,0.04384908825159073,12.69945240020752,717.8783569335938
Fossil_Oil_shale_SE,0.0,0.0,0.0,0.0
Fossil_Peat_SE,1.1758689880371094,0.03188600018620491,11.42572021484375,713.7409057617188
Geothermal_SE,0.0,0.0,0.0,0.0
Hydro_Pumped_Storage_SE,0.0,0.0,0.0,0.0
Hydro_Run-of-river_and_poundage_SE,0.004366000182926655,3.793076992034912,0.04333300143480301,11.914130210876465
Hydro_Water_Reservoir_SE,0.05121700093150139,3.7941949367523193,0.0581899993121624,33.76380157470703
Marine_SE,0.0,0.0,0.0,0.0
Nuclear_SE,0.012160672806203365,0.020685559138655663,13.65075969696045,320.9754943847656
Other_fossil_SE,2.039562940597534,0.2223850041627884,19.09918975830078,1486.0560302734375
Other_renewable_SE,0.0,0.0,0.0,0.0
Solar_SE,0.0,0.0,0.0,0.0
Waste_SE,0.0,0.0,0.0,0.0
Wind_Offshore_SE,0.015521000139415264,3.884860038757324,0.1901720017194748,37.23991012573242
Wind_Onshore_SE,0.01599745638668537,3.884483575820923,0.21444736421108246,37.70573425292969
Biomass_DK,0.060150396078825,15.171355247497559,0.5656205415725708,400.1615905761719
Fossil_Brown_coal/Lignite_DK,0.0,0.0,0.0,0.0
Fossil_Coal-derived_gas_DK,0.0,0.0,0.0,0.0
Fossil_Gas_DK,0.5096343159675598,8.853384497342631e-05,0.001742879394441843,58.406105041503906
Fossil_Hard_coal_DK,0.0,0.0,0.0,0.0
Fossil_Oil_DK,1.0212582349777222,0.05193696916103363,15.041714668273926,1074.623291015625
Fossil_Oil_shale_DK,0.0,0.0,0.0,0.0
Fossil_Peat_DK,0.0,0.0,0.0,0.0
Geothermal_DK,0.0,0.0,0.0,0.0
Hydro_Pumped_Storage_DK,0.0,0.0,0.0,0.0
Hydro_Run-of-river_and_poundage_DK,0.004366000182926655,3.793076992034912,0.04333300143480301,11.914270401000977
Hydro_Water_Reservoir_DK,0.0,0.0,0.0,0.0
Marine_DK,0.0,0.0,0.0,0.0
Nuclear_DK,0.0,0.0,0.0,0.0
Other_fossil_DK,0.0,0.0,0.0,0.0
Other_renewable_DK,0.0,0.0,0.0,0.0
Solar_DK,0.1023966446518898,4.053643703460693,1.2842578887939453,180.61488342285156
Waste_DK,0.0,0.0,0.0,0.0
Wind_Offshore_DK,0.015521000139415264,3.884860038757324,0.1901720017194748,37.234901428222656
Wind_Onshore_DK,0.01306984107941389,3.8823111057281494,0.16711096465587616,33.73539352416992
