,Residual_Hydro_Water_Reservoir_IT,Residual_Hydro_Run-of-river_and_poundage_IT,Residual_Other_IT,Biomass_IT,Fossil_Brown_coal/Lignite_IT,Fossil_Coal-derived_gas_IT,Fossil_Gas_IT,Fossil_Hard_coal_IT,Fossil_Oil_IT,Fossil_Oil_shale_IT,Fossil_Peat_IT,Geothermal_IT,Hydro_Pumped_Storage_IT,Hydro_Run-of-river_and_poundage_IT,Hydro_Water_Reservoir_IT,Marine_IT,Nuclear_IT,Other_fossil_IT,Other_renewable_IT,Solar_IT,Waste_IT,Wind_Offshore_IT,Wind_Onshore_IT
2023-11-27 13:00:00,0.0,0.0,0.0,0.0007707900291434892,0.0,0.0004829416392433672,0.0009625669974427399,0.00037170005710420313,6.533462086444155e-06,0.0,0.0,2.1395800545472006e-05,0.00041422532738543565,1.741674934742767e-05,2.9856561248912893e-06,0.0,0.0,0.001079466338253794,0.0,0.0007205511121076287,0.0,7.700548590782639e-08,0.00011671301770827313
2023-11-27 14:00:00,0.0,0.0,0.0,0.0007624392902266895,0.0,0.00047615135743772624,0.000979041817587318,0.000397363373920876,6.483867670428567e-06,0.0,0.0,2.12333886084011e-05,0.0003996178702343988,1.6985369985032287e-05,2.5943045189351536e-06,0.0,0.0,0.0010543217792248517,0.0,0.00034898715786170053,0.0,7.642095016658144e-08,0.00012121611491719833
2023-11-27 15:00:00,0.0,0.0,0.0,0.0007542747061117068,0.0,0.0004622384510054012,0.0009806700279065897,0.0003936990734496486,6.3109765167528574e-06,0.0,0.0,2.06014896774479e-05,0.0003833833925665052,2.1490965234802624e-05,2.776765385238892e-06,0.0,0.0,0.0010472441044903924,0.0,3.5383487363414e-05,0.0,1.0626171344543401e-07,0.0001314615401096392
2023-11-27 16:00:00,0.0,0.0,0.0,0.0007424120472297783,0.0,0.0004609160197031971,0.0009594101152922318,0.0003704559549948772,6.292921262208203e-06,0.0,0.0,2.0542550282072558e-05,0.0004320425309960628,2.2202414687680274e-05,3.360114055165175e-06,0.0,0.0,0.0010537075269772254,0.0,0.0,0.0,1.5893655937183873e-07,0.0001469943939024389
2023-11-27 17:00:00,0.0,0.0,0.0,0.0007761139197180288,0.0,0.0004884849833342337,0.0009949853408055217,0.0003852911962805461,6.557160451777179e-06,0.0,0.0,2.1405130093902277e-05,0.00026953073847242327,2.167306019319822e-05,2.5713394705017384e-06,0.0,0.0,0.0010910957629837053,0.0,0.0,0.0,1.9873234919621836e-07,0.00015808678078755483
2023-11-27 18:00:00,0.0,0.0,0.0,0.0007972007224660394,0.0,0.0004898302337221972,0.0009864234693338161,0.0004043833577207404,4.002081733237773e-06,0.0,0.0,2.1739199930949847e-05,0.00024403830988114684,1.9640694302546928e-05,2.3936246786150783e-06,0.0,0.0,0.0010379651160809867,0.0,0.0,0.0,1.2354001194399974e-07,0.00017497816616771907
2023-11-27 19:00:00,0.0,0.0,0.0,0.0008287913263450724,0.0,0.0005182681525298287,0.000969416775748507,0.0004319443160056959,4.228879614655762e-06,0.0,0.0,2.2934464756351287e-05,0.00025232985164952697,1.738256741535609e-05,1.757049362245139e-06,0.0,0.0,0.0011248856858511228,0.0,0.0,0.0,8.30715592192006e-08,0.00019099629287502073
2023-11-27 20:00:00,0.0,0.0,0.0,0.0008770660687528148,0.0,0.000573563499120146,0.0009031429655757443,0.00044193563854684205,5.514892743722228e-06,0.0,0.0,2.4924078556492295e-05,0.00017491399508405542,1.5799362620500456e-05,1.6571818355541688e-06,0.0,0.0,0.0011253549876018652,0.0,0.0,0.0,6.448442457316729e-08,0.00021335713025344766
2023-11-27 21:00:00,0.0,0.0,0.0,0.0009485578117263414,0.0,0.000626295372859097,0.0008123438419387623,0.0004699283941561795,7.126459261261928e-06,0.0,0.0,2.7562184176469104e-05,2.5415074559679258e-05,1.6192970987116808e-05,1.4943049449746084e-06,0.0,0.0,0.0010928732706117943,0.0,0.0,0.0,2.856963992250936e-08,0.00024640551439601883
2023-11-27 22:00:00,0.0,0.0,0.0,0.0010060432904593437,0.0,0.0006833468545010848,0.0007507252982031767,0.00046178867996343265,9.220595008767666e-06,0.0,0.0,2.990759657682434e-05,0.0,1.632877197213443e-05,1.1349279741419102e-06,0.0,0.0,0.001004576943181227,0.0,0.0,0.0,1.5525271279605336e-08,0.0002971800328767694
