,Residual_Hydro_Water_Reservoir_IT,Residual_Hydro_Run-of-river_and_poundage_IT,Residual_Other_IT,Biomass_IT,Fossil_Brown_coal/Lignite_IT,Fossil_Coal-derived_gas_IT,Fossil_Gas_IT,Fossil_Hard_coal_IT,Fossil_Oil_IT,Fossil_Oil_shale_IT,Fossil_Peat_IT,Geothermal_IT,Hydro_Pumped_Storage_IT,Hydro_Run-of-river_and_poundage_IT,Hydro_Water_Reservoir_IT,Marine_IT,Nuclear_IT,Other_fossil_IT,Other_renewable_IT,Solar_IT,Waste_IT,Wind_Offshore_IT,Wind_Onshore_IT
2019-06-18 23:00:00,0.0,0.0,0.0,0.00012053932907528906,0.0,0.0013105781151250945,0.0015982077359473891,0.002371624967506712,1.670406052396868e-05,0.0,0.0,0.00026351394091059835,3.5980500853705526e-05,0.0003232166507066826,5.36361772831109e-05,0.0,0.0,0.009176056931442867,0.0,0.0,0.0,0.0,6.897089099914847e-05
2019-06-19 00:00:00,0.0,0.0,0.0,0.000126064367263991,0.0,0.0013705423560182329,0.0015641218636409547,0.0024688594729967636,1.7438116704736605e-05,0.0,0.0,0.0002755487025740219,3.8114033159097404e-05,0.00033134351000265475,4.793119296424129e-05,0.0,0.0,0.00903527915493426,0.0,0.0,0.0,0.0,6.135364757248173e-05
2019-06-19 01:00:00,0.0,0.0,0.0,0.00012790055007280446,0.0,0.0013907232113415274,0.0016005871055106596,0.002223680540510705,1.7756328710995415e-05,0.0,0.0,0.0002805769350920595,3.824708366135971e-05,0.000336177863720911,4.4508878190071154e-05,0.0,0.0,0.008779691449283923,0.0,0.0,0.0,0.0,5.937538705924395e-05
2019-06-19 02:00:00,0.0,0.0,0.0,0.00012849637953297433,0.0,0.0014095955397561261,0.0016156618571606391,0.0020843793659423887,1.813066799898958e-05,0.0,0.0,0.0002838446124078837,3.856524184935987e-05,0.0003393602867806919,4.759515282981423e-05,0.0,0.0,0.008778700203085821,0.0,0.0,0.0,0.0,7.340496897988436e-05
2019-06-19 03:00:00,0.0,0.0,0.0,0.00012485372767952093,0.0,0.0013917735371973255,0.0015958410395952687,0.002147999890081,2.0000939426938023e-05,0.0,0.0,0.00027879079835092785,3.837251849158417e-05,0.00033573511280989715,4.9397666734759106e-05,0.0,0.0,0.008822701959004463,0.0,2.8217554456699364e-06,0.0,0.0,7.708455345005005e-05
2019-06-19 04:00:00,0.0,0.0,0.0,0.00010934990297584011,0.0,0.0012371420634474935,0.0016493928573734224,0.0018680857772101285,1.7778756968866144e-05,0.0,0.0,0.00024781605219811024,7.019570762278947e-05,0.0003283162395504737,6.138296416952112e-05,0.0,0.0,0.00895988465599073,0.0,0.000170919144185479,0.0,0.0,7.12428139168865e-05
2019-06-19 05:00:00,0.0,0.0,0.0,9.153460940560947e-05,0.0,0.001051090023636984,0.0016396918524894072,0.0018060797059763645,1.5414262814769495e-05,0.0,0.0,0.0002084611496314985,0.00035722171821285314,0.0002961528722133203,7.070729110229845e-05,0.0,0.0,0.008756083935597061,0.0,0.0006096482163439313,0.0,0.0,5.003349178401538e-05
2019-06-19 06:00:00,0.0,0.0,0.0,8.012880156726776e-05,0.0,0.0009366377185699092,0.0015350429988613698,0.0016291265922452856,1.350659523631698e-05,0.0,0.0,0.00018610289316797784,0.00014233310181440076,0.0003032604550575696,9.223806161969003e-05,0.0,0.0,0.008123671633718896,0.0,0.001178159459426215,0.0,0.0,4.240245633855833e-05
2019-06-19 07:00:00,0.0,0.0,0.0,7.476488124599454e-05,0.0,0.0008889859838513226,0.0014892621626769464,0.0018611896703067247,1.338498481513619e-05,0.0,0.0,0.0001775885717351092,0.00013866248913025055,0.0002944708925691115,8.981415955611064e-05,0.0,0.0,0.0078677588270696,0.0,0.0016825628769132736,0.0,0.0,2.578766770954723e-05
2019-06-19 08:00:00,0.0,0.0,0.0,7.379962210124505e-05,0.0,0.0008626403943076792,0.0013962555955426075,0.0021034259023523963,1.3337217464255228e-05,0.0,0.0,0.00017322944233034003,0.00036432058589748364,0.00026536782765512724,7.022385006262037e-05,0.0,0.0,0.00775384093447928,0.0,0.0020601725460912736,0.0,0.0,2.4509686025140987e-05
