,Residual_Hydro_Water_Reservoir_DE,Residual_Hydro_Run-of-river_and_poundage_DE,Residual_Other_DE,Biomass_DE,Fossil_Brown_coal/Lignite_DE,Fossil_Coal-derived_gas_DE,Fossil_Gas_DE,Fossil_Hard_coal_DE,Fossil_Oil_DE,Fossil_Oil_shale_DE,Fossil_Peat_DE,Geothermal_DE,Hydro_Pumped_Storage_DE,Hydro_Run-of-river_and_poundage_DE,Hydro_Water_Reservoir_DE,Marine_DE,Nuclear_DE,Other_fossil_DE,Other_renewable_DE,Solar_DE,Waste_DE,Wind_Offshore_DE,Wind_Onshore_DE
2021-12-26 01:00:00,0.0,0.0,0.0,0.0067301029914252465,0.0005690432304713086,0.0,0.00021309872815971376,0.0012249262184965437,5.939339093461499e-05,0.0,0.0,8.241610036461719e-07,0.00010608535510581752,3.845699533469402e-06,3.87736778541091e-08,0.0,4.215622944194985e-05,0.00012944145864153848,1.1717817999091236e-05,0.0,0.0,1.5796193616727457e-05,0.00025040881893265675
2021-12-26 02:00:00,0.0,0.0,0.0,0.006658896401477413,0.0005716199595643531,0.0,0.0002129452093612202,0.00121125159139728,5.8875840550227594e-05,0.0,0.0,8.17832002848831e-07,5.3680701155806776e-05,3.858338818277581e-06,3.657600919136359e-08,0.0,4.1669790522721214e-05,0.0001282225355042016,1.1617294478209178e-05,0.0,0.0,1.907108852730508e-05,0.00025015964970427607
2021-12-26 03:00:00,0.0,0.0,0.0,0.006612513110477619,0.0005748964022794667,0.0,0.0002133478594013111,0.0011990757391092495,5.83053701576748e-05,0.0,0.0,8.091336786273657e-07,5.177497233534693e-05,3.839075162295571e-06,3.5242139406003757e-08,0.0,4.1265392499404864e-05,0.0001273290730643054,1.150453376340231e-05,0.0,0.0,2.070748402970706e-05,0.00025178025581481107
2021-12-26 04:00:00,0.0,0.0,0.0,0.0066344271551109345,0.0005709978247009053,0.0,0.00021031532483876367,0.0011467740311780085,5.8333832685532754e-05,0.0,0.0,7.388409975212232e-07,5.1775278759738686e-05,3.869968146707677e-06,2.6632057908987936e-08,0.0,4.1280991064516265e-05,0.00012934182822950082,1.1503478426689687e-05,0.0,0.0,2.308747575502111e-05,0.00025882378693175363
2021-12-26 05:00:00,0.0,0.0,0.0,0.006618145457002779,0.0005651560132965589,0.0,0.00020784441898735953,0.0010820200613743114,5.808701361289596e-05,0.0,0.0,6.515104326418273e-07,5.271393373381122e-05,3.86714077273769e-06,5.962225174692658e-08,0.0,4.09069616825869e-05,0.00012878696361302364,1.1394274822538785e-05,0.0,0.0,2.451181125090069e-05,0.0002744937589006567
2021-12-26 06:00:00,0.0,0.0,0.0,0.006492099657298708,0.0005521722286162486,0.0,0.00021054999982761583,0.0011248805928321605,5.640650847137919e-05,0.0,0.0,6.362857678226011e-07,9.873733075242538e-05,3.7864243297365548e-06,2.0766734765609204e-07,0.0,3.9627554591669746e-05,0.0001247796107785897,1.1038802458831473e-05,5.568080779324361e-10,0.0,2.554523985981226e-05,0.00027917171902717893
2021-12-26 07:00:00,0.0,0.0,0.0,0.006389024614495186,0.000538144348497555,0.0,0.00021202688295926948,0.0011231018847376898,5.4804504455113064e-05,0.0,0.0,6.124319331074623e-07,0.00011058245734672617,3.7282146315038253e-06,9.247161760993381e-08,0.0,3.845326623331943e-05,0.00012121676806686895,1.072309113493979e-05,4.555495380744915e-05,0.0,2.7922794569463347e-05,0.00028479192369504076
2021-12-26 08:00:00,0.0,0.0,0.0,0.006217733828279949,0.000519830494520701,0.0,0.00020377036552415655,0.0010930491616995828,5.299427649038953e-05,0.0,0.0,5.887081824885697e-07,9.672609475737824e-05,3.6352720264813605e-06,1.3720006999345344e-07,0.0,3.719797959266937e-05,0.00011721369882306016,1.0368900550904027e-05,0.0003487212567630778,0.0,3.1457028029541315e-05,0.0002601969105006056
2021-12-26 09:00:00,0.0,0.0,0.0,0.006030149262115829,0.0005009198807857015,0.0,0.00020768527719609888,0.0010489557402579518,5.1223263605611745e-05,0.0,0.0,6.093489211837699e-07,8.1884626569603e-05,3.5181367223085744e-06,1.248544417185055e-07,0.0,3.590628689833694e-05,0.00011321757360019447,1.0015742445259064e-05,0.0007199923571887265,0.0,3.334137311642791e-05,0.0002266879437938693
2021-12-26 10:00:00,0.0,0.0,0.0,0.005873295387704748,0.000487779981816713,0.0,0.00021491766158471793,0.0010085958789140851,5.0028423715793425e-05,0.0,0.0,6.467333523941257e-07,0.00018106255107116733,3.4317732651315936e-06,1.1759094808363138e-07,0.0,3.507862983056921e-05,0.00011062902699276425,9.786577869424815e-06,0.0010072597423152127,0.0,3.364071000089034e-05,0.00018970626538883554
